index,xmin,ymin,xmax,ymax,center_x,center_y,confidence,class,predicted_id,name,componentId,color,key,lineTypeId,group,lineTypeIdNumber,lineTypeName,checked,componentType,distance
102,3365.4482,331.4657,3413.0144,364.9722,3389.2313,348.21895,0.8983318,24,5196770a,LL,clnk1xblj003h34aof7r696zx,#0DB2B2,555c1a55,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,mandatory,
94,3051.9116,880.83167,3076.4521,912.14935,3064.18185,896.4905100000001,0.7643989,4,8aadf327,115_breaker,clnk1x9z0002734aoowjtqqn8,#F20D7A,caa6b297,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,1277.1332598452404
99,3219.4395,816.00775,3288.6343,878.326,3254.0369,847.166875,0.9286538,29,a4273147,ss_man_mode,clnk1xa1a003734ao1atko9rz,#F20D3C,ba03ad50,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,1199.9911242215094
113,3611.951,640.71295,3670.2705,678.62006,3641.11075,659.6665049999999,0.8931843,23,814d99f7,DPM,clnk1x9zg002o34ao2g3ii1c9,#B24CCC,3a332b3b,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,755.7220048756974
96,3106.694,453.19003,3166.4795,484.39484,3136.58675,468.79243499999995,0.8760644,11,7e1179c4,115_la,clnk1x9zg002r34aoait6btdp,#9936AC,e0dfeb41,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,528.4356415871825
93,3001.0212,491.87796,3123.8154,537.30145,3062.4183000000003,514.589705,0.8359716,3,5dd991bc,115_3ways_ds_w_motor,clnk1x9yy001u34aocjolxshe,#B20D0D,292dc50e,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,764.6681810065351
89,3005.8884,921.6513,3080.0383,966.7988,3042.96335,944.22505,0.8860058,2,f6f7ef2e,115_1way_ds_w_motor,clnk1x9yy001w34ao2t1e12f3,#B2AA0A,33bf3a30,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,1396.7139956489837
115,3726.8545,640.49384,3783.4514,679.46515,3755.1529499999997,659.979495,0.90728366,22,c6038783,DIM,clnk1xcco003j34ao5ownl25b,#B20D0D,bae046fb,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,1025.7535341682735
97,3102.4214,314.7515,3236.187,470.02954,3169.3042,392.39052000000004,0.9168151,13,f76eea68,115_vt_3p,clnk1x9zg002h34aoat3fl2py,#199588,315517e0,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,342.7005768508881
73,2443.4695,336.49545,2493.8594,369.35376,2468.66445,352.92460500000004,0.8864907,24,428e0a66,LL,clnk1xblj003h34aof7r696zx,#0DB2B2,5d0a32c1,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-1,clwx2951g0004348cmzaa63q1-1,115_incoming-0-1,False,mandatory,5000.0
56,2135.5884,881.57764,2160.7244,909.42926,2148.1564,895.5034499999999,0.8182648,4,bb8d586a,115_breaker,clnk1x9z0002734aoowjtqqn8,#F20D7A,1944cee2,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-1,clwx2951g0004348cmzaa63q1-1,115_incoming-0-1,False,optional,1280.0449480906718
69,2299.9485,814.9839,2372.6309,879.7768,2336.2897000000003,847.3803499999999,0.919115,29,745d3285,ss_man_mode,clnk1xa1a003734ao1atko9rz,#F20D3C,5642043e,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-1,clwx2951g0004348cmzaa63q1-1,115_incoming-0-1,False,optional,1311.1992770232227
78,2715.7861,641.43646,2773.9321,679.6514,2744.8590999999997,660.54393,0.90155035,23,28dc2732,DPM,clnk1x9zg002o34ao2g3ii1c9,#B24CCC,2fdd2f9f,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-1,clwx2951g0004348cmzaa63q1-1,115_incoming-0-1,False,optional,788.1778489984131
63,2183.6821,446.9051,2251.7341,483.3118,2217.7081,465.10845,0.79969823,11,fbe201f2,115_la,clnk1x9zg002r34aoait6btdp,#9936AC,fb6e30e5,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-1,clwx2951g0004348cmzaa63q1-1,115_incoming-0-1,False,optional,526.7077195258246
