index,xmin,ymin,xmax,ymax,center_x,center_y,confidence,class,predicted_id,name,componentId,color,key,lineTypeId,group,lineTypeIdNumber,lineTypeName,checked,componentType,distance
101,3365.446,331.4643,3413.0146,364.97482,3389.2303,348.21956,0.89834595,24,270ef0ce,LL,clnk1xblj003h34aof7r696zx,#0DB2B2,57e27a58,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,mandatory,
93,3051.9028,880.82434,3076.4634,912.1709,3064.1831,896.49762,0.7645866,4,f726d0eb,115_breaker,clnk1x9z0002734aoowjtqqn8,#F20D7A,6dcb24f8,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,1277.1332598452404
98,3219.442,816.01105,3288.638,878.3236,3254.04,847.167325,0.9286683,29,7b6b26f1,ss_man_mode,clnk1xa1a003734ao1atko9rz,#F20D3C,5e416d2a,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,1199.9911242215094
112,3611.9526,640.71265,3670.2688,678.6169,3641.1107,659.664775,0.8932187,23,95a0485e,DPM,clnk1x9zg002o34ao2g3ii1c9,#B24CCC,c3845fbf,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,755.7220048756974
95,3106.6897,453.18625,3166.48,484.39722,3136.58485,468.791735,0.87601787,11,2c40138e,115_la,clnk1x9zg002r34aoait6btdp,#9936AC,a2b4273f,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,528.4356415871825
92,3001.0308,491.8891,3123.8335,537.30145,3062.43215,514.595275,0.836108,3,41c54965,115_3ways_ds_w_motor,clnk1x9yy001u34aocjolxshe,#B20D0D,6f64e3da,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,764.6681810065351
88,3005.8887,921.65753,3080.0537,966.7918,3042.9712,944.224665,0.88584375,2,2f3a4779,115_1way_ds_w_motor,clnk1x9yy001w34ao2t1e12f3,#B2AA0A,4f437f20,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,1396.7139956489837
114,3726.8547,640.49524,3783.4492,679.4673,3755.15195,659.98127,0.90731144,22,bd78a6b2,DIM,clnk1xcco003j34ao5ownl25b,#B20D0D,f4082922,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,1025.7535341682735
96,3102.4255,314.7359,3236.1904,470.03406,3169.30795,392.38498000000004,0.9168645,13,6616d2c9,115_vt_3p,clnk1x9zg002h34aoat3fl2py,#199588,56fec717,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,342.7005768508881
72,2443.4688,336.49307,2493.8623,369.35068,2468.6655499999997,352.921875,0.8865217,24,b246b122,LL,clnk1xblj003h34aof7r696zx,#0DB2B2,f3ca3796,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-1,clwx2951g0004348cmzaa63q1-1,115_incoming-0-1,False,mandatory,5000.0
57,2135.846,881.7408,2160.961,909.49945,2148.4035,895.620125,0.81704813,4,fa606ca5,115_breaker,clnk1x9z0002734aoowjtqqn8,#F20D7A,8f7c53bf,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-1,clwx2951g0004348cmzaa63q1-1,115_incoming-0-1,False,optional,1280.0449480906718
77,2715.7693,641.4277,2773.9395,679.65875,2744.8544,660.543225,0.9015693,23,6780ab78,DPM,clnk1x9zg002o34ao2g3ii1c9,#B24CCC,7b20a2c0,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-1,clwx2951g0004348cmzaa63q1-1,115_incoming-0-1,False,optional,788.1778489984131
64,2183.6963,446.902,2251.7585,483.31107,2217.7273999999998,465.106535,0.7998208,11,43cfe452,115_la,clnk1x9zg002r34aoait6btdp,#9936AC,cd9faac8,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-1,clwx2951g0004348cmzaa63q1-1,115_incoming-0-1,False,optional,526.7077195258246
56,2080.6985,492.95346,2209.372,536.2487,2145.03525,514.60108,0.85738486,3,ca009528,115_3ways_ds_w_motor,clnk1x9yy001u34aocjolxshe,#B20D0D,4c439159,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-1,clwx2951g0004348cmzaa63q1-1,115_incoming-0-1,False,optional,680.158513014657
52,2076.8618,919.88074,2163.0361,962.48566,2119.94895,941.1831999999999,0.8775022,2,ece58257,115_1way_ds_w_motor,clnk1x9yy001w34ao2t1e12f3,#B2AA0A,4e336a62,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-1,clwx2951g0004348cmzaa63q1-1,115_incoming-0-1,False,optional,1383.8977618330578
83,2832.2341,641.29596,2885.6196,679.43384,2858.92685,660.3649,0.9012323,22,540d44be,DIM,clnk1xcco003j34ao5ownl25b,#B20D0D,778f5e8e,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-1,clwx2951g0004348cmzaa63q1-1,115_incoming-0-1,False,optional,937.3565645486035
65,2176.4973,318.7745,2316.1765,474.50363,2246.3369000000002,396.63906499999996,0.90698814,13,b670d4fe,115_vt_3p,clnk1x9zg002h34aoat3fl2py,#199588,e818c8bc,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-1,clwx2951g0004348cmzaa63q1-1,115_incoming-0-1,False,optional,380.1564209736038
34,1484.6691,928.1075,1538.0824,966.8305,1511.3757500000002,947.469,0.88110846,24,bcbf7241,LL,clnk1xblj003h34aof7r696zx,#0DB2B2,fb964fe3,clwx2951l000c348cuts0j8vg,clwx2951l000c348cuts0j8vg-0,clwx2951l000c348cuts0j8vg-0,115_tie-1-0,False,mandatory,5000.0
33,1433.0099,969.0894,1571.6925,1013.9063,1502.3512,991.49785,0.8564966,36,13630f0f,v_m_digital,clnk1x9zl002z34aoinxcy3e7,#0DB27A,7b3be166,clwx2951l000c348cuts0j8vg,clwx2951l000c348cuts0j8vg-0,clwx2951l000c348cuts0j8vg-0,115_tie-1-0,False,optional,67.9116882454314
47,1919.063,991.98535,2042.6372,1137.2588,1980.8501,1064.622075,0.90844715,12,9de3de50,115_vt_1p,clnk1x9yy002134aockv28u8a,#F1463F,a82d1d0c,clwx2951l000c348cuts0j8vg,clwx2951l000c348cuts0j8vg-0,clwx2951l000c348cuts0j8vg-0,115_tie-1-0,False,optional,792.0184694319792
76,2620.3206,1060.9935,2640.128,1074.5408,2630.2243,1067.7671500000001,0.68560666,8,6476112e,115_ds,clnk1x9z9002d34aoevv8q7k2,#B20D0D,e9e03994,clwx2951l000c348cuts0j8vg,clwx2951l000c348cuts0j8vg-0,clwx2951l000c348cuts0j8vg-0,115_tie-1-0,False,optional,1725.3455967290597
61,2120.7036,1541.1381,2238.281,1663.8832,2179.4923,1602.51065,0.9263347,1,a860b82d,11522_tx_ynyn0d1,clnk1x9yy001n34ao3p4j64wb,#3C57B0,104cd45c,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,mandatory,5000.0
43,1782.1963,1616.9501,1961.9366,1656.9641,1872.06645,1636.9571,0.8854453,26,c3886988,NGR_future,clnk1xa1b003934aoa97gb8sf,#B20DD0,773f860a,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,517.666088965482
53,2085.8892,1130.4114,2166.892,1174.8077,2126.3905999999997,1152.6095500000001,0.8766948,2,f4f01440,115_1way_ds_w_motor,clnk1x9yy001w34ao2t1e12f3,#B2AA0A,0ddb7bd0,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,866.7098115668778
66,2235.3225,1339.0396,2297.3079,1379.5974,2266.3152,1359.3185,0.9132276,22,be2587d0,DIM,clnk1xcco003j34ao5ownl25b,#B20D0D,01852733,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,574.4062043356596
51,2058.6138,1463.3286,2127.243,1497.9875,2092.9284,1480.65805,0.91285396,11,b59f88a3,115_la,clnk1x9zg002r34aoait6btdp,#9936AC,d597247b,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,318.93102422918764
58,2135.7063,1207.0769,2163.789,1240.4625,2149.7476500000002,1223.7697,0.8310383,4,138e7b28,115_breaker,clnk1x9z0002734aoowjtqqn8,#F20D7A,571e10cb,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,756.5432893255071
70,2331.016,1682.3313,2372.9553,1725.137,2351.98565,1703.73415,0.90548694,35,6a7f9577,v_m,clnk1x9zk002v34aojm2s6xiu,#0DB24C,3563f5ae,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,733.9402589451772
54,2096.689,1791.0363,2166.0203,1831.1628,2131.35465,1811.09955,0.8716479,31,80085648,terminator_double,clnk1x9zm003434aoc9i4tm42,#0DB27A,cbab8dae,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,364.91378028648455
89,3004.9097,1132.4395,3082.5613,1184.8625,3043.7355,1158.6509999999998,0.9015185,2,1eab20e6,115_1way_ds_w_motor,clnk1x9yy001w34ao2t1e12f3,#B2AA0A,8bd55179,clwx2hny8005c348cwgfkbm1o,clwx2hny8005c348cwgfkbm1o-0,clwx2hny8005c348cwgfkbm1o-0,115_transformer_future-3-0,False,mandatory,5000.0
2,67.20832,2460.0112,385.0649,2689.9993,226.13661000000002,2575.00525,0.90774465,15,853d0096,22_cap_bank,clnk1x9zg002j34aoox1pjy3x,#0DB24C,9b725815,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,mandatory,5000.0
1,211.10402,1930.8297,239.68088,2038.1748,225.39245,1984.50225,0.8836209,14,e0bcbab0,22_breaker,clnk1x9yy001s34aok46x91s6,#3C0DB2,c345bcc2,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,1259.1038225937177
6,293.36853,2136.7065,346.6971,2175.608,320.032815,2156.15725,0.8760424,23,6395cfa9,DPM,clnk1x9zg002o34ao2g3ii1c9,#B24CCC,adacc678,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,1285.4002871499993
7,379.9148,2137.1077,433.79648,2175.84,406.85564,2156.4738500000003,0.8993948,22,247a80d2,DIM,clnk1xcco003j34ao5ownl25b,#B20D0D,69e30a5a,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,optional,1337.968829644923
