index,xmin,ymin,xmax,ymax,center_x,center_y,confidence,class,predicted_id,name,componentId,color,key,lineTypeId,group,lineTypeIdNumber,lineTypeName,checked,componentType,distance
101,3365.446,331.4643,3413.0146,364.97482,3389.2305,348.21954,0.89834595,24,f3b93745,LL,clnk1xblj003h34aof7r696zx,#0DB2B2,1aaf7993,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,mandatory,
93,3051.9028,880.82434,3076.4634,912.1709,3064.183,896.4976,0.7645866,4,14137795,115_breaker,clnk1x9z0002734aoowjtqqn8,#F20D7A,039fc035,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,1277.1332598452404
98,3219.442,816.01105,3288.638,878.3236,3254.04,847.16736,0.9286683,29,4ec25a57,ss_man_mode,clnk1xa1a003734ao1atko9rz,#F20D3C,498c001a,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,1199.9911242215094
112,3611.9526,640.71265,3670.2688,678.6169,3641.1108,659.6648,0.8932187,23,1340863c,DPM,clnk1x9zg002o34ao2g3ii1c9,#B24CCC,62fab147,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,755.7220048756974
95,3106.6897,453.18625,3166.48,484.39722,3136.585,468.79175,0.87601787,11,a0a5d490,115_la,clnk1x9zg002r34aoait6btdp,#9936AC,ee7332fe,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,528.4356415871825
92,3001.0308,491.8891,3123.8335,537.30145,3062.4321,514.5953,0.836108,3,550af9fb,115_3ways_ds_w_motor,clnk1x9yy001u34aocjolxshe,#B20D0D,aaa4ee6b,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,764.6681810065351
88,3005.8887,921.65753,3080.0537,966.7918,3042.9712,944.2247,0.88584375,2,4bfc5e1e,115_1way_ds_w_motor,clnk1x9yy001w34ao2t1e12f3,#B2AA0A,73775441,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,1396.7139956489837
114,3726.8547,640.49524,3783.4492,679.4673,3755.1519,659.98126,0.90731144,22,9a1859af,DIM,clnk1xcco003j34ao5ownl25b,#B20D0D,b858dfc0,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,1025.7535341682735
96,3102.4255,314.7359,3236.1904,470.03406,3169.308,392.38498,0.9168645,13,f83c554a,115_vt_3p,clnk1x9zg002h34aoat3fl2py,#199588,b01d3cda,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,342.7005768508881
72,2443.4688,336.49307,2493.8623,369.35068,2468.6655,352.92188,0.8865217,24,c2e182da,LL,clnk1xblj003h34aof7r696zx,#0DB2B2,3683fa31,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-1,clwx2951g0004348cmzaa63q1-1,115_incoming-0-1,False,mandatory,5000.0
