index,xmin,ymin,xmax,ymax,center_x,center_y,confidence,class,predicted_id,name,componentId,color,key,lineTypeId,group,lineTypeIdNumber,lineTypeName,checked,componentType,distance
103,3365.4482,331.46558,3413.0144,364.97208,3389.2314,348.2188,0.89833194,24,d883c843,LL,clnk1xblj003h34aof7r696zx,#0DB2B2,1e516af9,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,mandatory,
95,3051.9116,880.8318,3076.4521,912.14923,3064.182,896.4905,0.76439995,4,a239c11c,115_breaker,clnk1x9z0002734aoowjtqqn8,#F20D7A,bf119ba9,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,1277.1332598452404
100,3219.4395,816.00775,3288.6343,878.326,3254.0369,847.1669,0.9286542,29,f37dc99c,ss_man_mode,clnk1xa1a003734ao1atko9rz,#F20D3C,5e9f1ba4,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,1199.9911242215094
114,3611.951,640.71295,3670.2705,678.62006,3641.1108,659.6665,0.89318436,23,f46c8d70,DPM,clnk1x9zg002o34ao2g3ii1c9,#B24CCC,fe8c9c98,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,755.7220048756974
97,3106.694,453.19003,3166.4795,484.39484,3136.587,468.79242,0.87606514,11,2105e53a,115_la,clnk1x9zg002r34aoait6btdp,#9936AC,5b81ff2a,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,528.4356415871825
94,3001.0215,491.87787,3123.8152,537.30133,3062.4185,514.5896,0.8359688,3,1b190090,115_3ways_ds_w_motor,clnk1x9yy001u34aocjolxshe,#B20D0D,394b7256,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,764.6681810065351
90,3005.8884,921.6514,3080.0378,966.79895,3042.9631,944.2252,0.88600844,2,c468e020,115_1way_ds_w_motor,clnk1x9yy001w34ao2t1e12f3,#B2AA0A,be51ec34,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,1396.7139956489837
116,3726.8545,640.49384,3783.4514,679.46515,3755.1528,659.9795,0.90728366,22,f274b324,DIM,clnk1xcco003j34ao5ownl25b,#B20D0D,baace8bc,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,1025.7535341682735
98,3102.4214,314.7515,3236.187,470.02954,3169.3042,392.3905,0.91681474,13,275b536b,115_vt_3p,clnk1x9zg002h34aoat3fl2py,#199588,c29e94b3,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-0,clwx2951g0004348cmzaa63q1-0,115_incoming-0-0,False,optional,342.7005768508881
74,2443.4707,336.49652,2493.8586,369.35315,2468.6646,352.92484,0.88648856,24,6fc18c7f,LL,clnk1xblj003h34aof7r696zx,#0DB2B2,3769ab8d,clwx2951g0004348cmzaa63q1,clwx2951g0004348cmzaa63q1-1,clwx2951g0004348cmzaa63q1-1,115_incoming-0-1,False,mandatory,5000.0
